"id","character","source","translatedstr"
"ConnectionNpc_1210_A_01_00_0001(0)","P","（音無さんの言ってた『伝説のレッスンメニュー』、
なんとしても教えてもらわないと……）","(The ""legendary lesson menu"" that Otonashi mentioned,
(You have to tell us at all costs. ......)"
"ConnectionNpc_1210_A_01_00_0002(0)","北江輝也","ようこそ！
トレーナーの北江　輝也です","Welcome!
This is trainer Teruya Kitae."
"ConnectionNpc_1210_A_01_00_0003(0)","P","初めまして。プロジェクトルミナスの
プロデューサーです。本日はよろしくお願いします","Nice to meet you, Project Luminous.
I'm the producer, and I'm looking forward to working with you today."
"ConnectionNpc_1210_A_01_00_0004(0)","北江輝也","こちらこそ、よろしく。ルミナスのレッスンの件、
高木社長からお聞きしていますよ","Nice to meet you too, about the Luminous lesson,
Manager Takagi has told me about you."
"ConnectionNpc_1210_A_01_00_0005(0)","P","はい！　
有名なトレーナーの方に相談できるなんて心強いです","Yes!
It's reassuring to be able to consult with a renowned trainer."
"ConnectionNpc_1210_A_01_00_0006(0)","北江輝也","実はもうアイドルのトレーナーは
やめちゃってたんですけどね……","In fact, the trainer of the idol is already
I had to stop. ......"
"ConnectionNpc_1210_A_01_00_0007(0)","北江輝也","でも、高木社長からの依頼とくれば、
断る事はできないですよ","But if Manager Takagi asked me to do it,
You can't say no."
"ConnectionNpc_1210_A_01_00_0008(0)","P","ありがとうございます！　では、早速なのですが、
レッスンのメニューについて相談を……","Thank you very much! So, let me get right to it,
Consult with us about the menu of lessons at ......"
"ConnectionNpc_1210_A_01_00_0009(0)","北江輝也","急いては事を仕損じる。
レッスンは日々の積み重ねが大切です　","Haste makes waste.
Lessons are important on a daily basis!"
"ConnectionNpc_1210_A_01_00_0010(0)","P","積み重ねが大切……。
たしかに、そうですね……","It's all about accumulation. ......
Yes, that's true. ......"
"ConnectionNpc_1210_A_01_00_0011(0)","北江輝也","そのための、アイドルにとって大切な
レッスンの要素があります","For this reason, it is important for idols
There is an element of lesson"
"ConnectionNpc_1210_A_01_00_0012(0)","北江輝也","まず、肺活量を高める呼吸筋、
リズム感に重要な体幹、体型を維持する為の……","First, respiratory muscles that increase lung capacity,
The core is important for rhythm and to stay in shape. ......"
"ConnectionNpc_1210_A_01_00_0013(0)","北江輝也","そして、呼吸筋には、横隔膜、内肋間筋、外肋間筋、
胸鎖乳突筋、前斜角筋、中斜角筋、後斜角筋……","And the respiratory muscles are the diaphragm, internal intercostal muscles, and external intercostal muscles,
Sternocleidomastoid, anterior scalene, middle scalene, and posterior scalene muscles: ......"
"ConnectionNpc_1210_A_01_00_0014(0)","P","は、はぁ……あの、北江さん？","Ha, ha. ...... Um, Kitae-san?"
"ConnectionNpc_1210_A_01_00_0015(0)","北江輝也","次に、体幹とは、胸郭と骨盤と背骨、
その中の臓器とその周囲を取り巻く表層、深層の……","Next, the trunk is the rib cage, pelvis and spine,
The organs within it and the superficial and deep layers surrounding it ......"
"ConnectionNpc_1210_A_01_00_0016(0)","P","（北江さんの話が止まらない。
と、とにかく、早く本題を切り出さないと……）","(Kitae-san never stops talking.
(And anyway, I have to cut to the chase quickly: ......)"
"ConnectionNpc_1210_A_01_00_0017(0)","P","あ、あの！
それで、レッスンメニューの内容なんですが……","Oh, um!
So, here's what's on the lesson menu: ......"
"ConnectionNpc_1210_A_01_00_0018(0)","北江輝也","ああ、すいません、つい熱くなってしまって。
僕が言いたかったのは基礎体力の事なんです！","Oh, I'm sorry, I just got so passionate.
My point was about basic fitness!"
